wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,price_usd,transaction_value_usd,transaction_type,portfolio_pct
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-09-05 14:51:38,d3409f7becbdb7ae6922b6f7ad7c78781feed26d48d8a1caf5806db58f47630f,1e-05,17816.91316866,0.00165324,540059.0,6710.5,0.06710500000000001,buy,5.6126445166663475e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-09-06 16:13:51,d2fc5dc604d7b806213a02a2b94bd99b25d8c0e933921b03a0102aca680f1d25,8.88e-06,17816.91317754,0.00113854,540218.0,6515.6,0.057858528,buy,4.984028328315664e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-10-14 09:17:36,2f51f923b5a9a6c4ef5d985ab7acb1298f7c0da568326790aa45f054880452d1,5.55e-06,17816.91318309,2.26e-06,545700.0,6335.2,0.03516036,buy,3.1150177042269556e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-10-18 08:03:44,7b54ae63794d2767d94820242405c23a5153f3728aa624fcebb9f3ad5614f900,6.67e-06,17816.91318976,2.26e-06,546264.0,6613.0,0.044108709999999995,buy,3.743633888182989e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-10-21 14:12:21,ad2b58216d977597b357916f1ef0773864bee73f34c541f55c393b6598204bee,6.66e-06,17816.91319642,5.555e-05,546720.0,6591.6,0.043900056,buy,3.7380212422756886e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-10-23 11:50:56,1d6580dcd979951bd600252b741c22a3ea8e605e43168f8452c68915c3ea2bf3,8.88e-06,17816.9132053,0.00085258,547011.0,6550.0,0.058164,buy,4.9840283205501975e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-11-08 17:23:28,74e28861dbbf89236235416de6d19f6ee7f244458d862a4a17748dc115d967de,1700.0,19516.9132053,0.00478143,549290.0,6479.6,11015320.0,buy,8.710393811344867
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-12-06 16:30:42,b28c8840f9645db80eb74b3e9951b56d6c140370c0f5c08cb572b11490d85852,0.00027282,19516.91347812,2.865e-05,552792.0,3531.3,0.9634092660000001,buy,1.3978644743486348e-06
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2018-12-09 04:53:43,bd537d1069a58926631277891259dce7d729105b15587ef0216949a5fcc631d0,8.88e-06,19516.913487,2.26e-06,553100.0,3639.6,0.032319648,buy,4.5498997604897255e-08
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2019-01-16 07:40:09,bf21bd5c7e7fb922065afc81bc8b7c66cde84086ca365c0d037786222d2b6a9f,0.0001,19516.913587,5e-05,558745.0,3671.2,0.36712,buy,5.123760965289557e-07
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2019-03-05 12:55:44,1f04393abf6b062a00696d60260c7e224d84610b0ccc3a0a88f78b7d9eabad75,0.50369187,19517.41727887,1.231e-05,565767.0,3951.6,1990.388793492,buy,0.0025807301386403638
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,2019-03-15 08:44:04,b7bb6588b36159aa445923b2e7ee9198a3fbf4b48d93db201789284f0e7831cb,5.46e-06,19517.41728433,4e-06,567158.0,4003.1,0.021856926,buy,2.7975012884433662e-08
