wallet_address,timestamp,hash,amount_btc,balance_btc,fee,block_height,last_updated,price_usd,transaction_value_usd,transaction_type,portfolio_pct
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-10 14:40:53,b7ee86e77a9242be5599b629393df7a57b56601c8abe46544c43005078e58865,30.63418357,19035.79093467,1.771e-05,860763,2025-02-08 16:31:33.835841,57758.0,1769369.1746360601,buy,0.16092939702445344
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-10 14:40:53,6fc89a3eca55962c9a309520155c6b05563ab6efce5206fee9a16382365dee87,42.39133848,19078.18227315,9.701e-05,860763,2025-02-08 16:31:33.835841,57758.0,2448438.92792784,buy,0.2221979949298428
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-10 14:40:53,faa4f1fb7d118a141950d269fd11312bdf0311243d531bdbed91aad6b79719d9,760.0,19838.18227315,1.003e-05,860763,2025-02-08 16:31:33.835841,57758.0,43896080.0,buy,3.8309961544643256
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-12 15:40:51,83c488a08616eaed443639541404f7318b073205b5f8f441b9df053b5e1176eb,936.66009359,20774.84236674,6.41e-06,861027,2025-02-08 16:31:33.835841,58287.0,54595106.87508033,buy,4.508626718100009
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-12 15:40:51,2ce47ff7d4c070fa1b1d9a78389293fcefc7fbc47739a78d3c842b3a7bd160a9,34.95329799,20809.79566473,1.379e-05,861027,2025-02-08 16:31:33.835841,58287.0,2037322.87994313,buy,0.16796559924536628
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 12:53:04,d5acee4de383cf8dbd8e2881375a1ca42dd0ca77585ab1f2891c18e3d8aaeebe,8.60622084,20932.75287897,6.6e-06,861144,2025-02-08 16:31:33.835841,60645.0,521924.26284180005,buy,0.04111365996512672
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 12:53:07,f198aa46226b1490e8a33032afd3398fa0959302a9cee13e25805ef7a40bc922,114.3509934,20924.14665813,6.6e-06,861144,2025-02-08 16:31:33.835841,60645.0,6934815.994743,buy,0.546502542102807
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 15:53:28,0d917a8614749970e2888b1e8eb4d65a9321d3596b5837d56a136646691d7bb1,0.0001,20932.75297897,1.523e-05,861156,2025-02-08 16:31:33.835841,60645.0,6.064500000000001,buy,4.777202506543912e-07
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 17:26:38,d689fb3ade7f6ebce4ed8e8ff0bc5327189bc7ee2bcf38a51694bb1984471ec2,1546.99998718,22501.23495691,1.282e-05,861173,2025-02-08 16:31:33.835841,60645.0,93817814.22253111,buy,6.875178140855444
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 17:28:50,717eec18f2b656f5115db2f2499d3e962404face614d0fb3d8111179953135a7,21.48099076,20954.23496973,9.24e-06,861173,2025-02-08 16:31:33.835841,60645.0,1302714.6846402,buy,0.10251383928371012
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 17:35:34,1794a391bc3c8733beb50e4a653e60a950f6806a20576cef50f016188e614ac1,0.001,20932.75397897,1.692e-05,861173,2025-02-08 16:31:33.835841,60645.0,60.645,buy,4.777202278327284e-06
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 18:39:21,9113f74c1596bc08e9d7666c76f837a144349c586d28171e418635cda5ef5053,100.0,22601.23495691,2.257e-05,861176,2025-02-08 16:31:33.835841,60645.0,6064500.0,buy,0.4424536986171477
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 18:59:39,c1e0cd00f0d5b427300dde9459639f71b0db0ace4728b94204307da0bbe06e62,440.07063048,23041.30558739,6.77e-06,861180,2025-02-08 16:31:33.835841,60645.0,26688083.3854596,buy,1.9099205503391306
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-13 19:10:27,bee5997ce077cc5e1f8865f8a1a95c1cd83b8883b302d9d205fb1f4f9d0bd384,43.31790998,23084.62349737,1.003e-05,861182,2025-02-08 16:31:33.835841,60645.0,2627014.6507371003,buy,0.18764832783577845
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 11:36:51,c587f3727379c50efbb37a15e1436b9d68324a9d618c64a749bf3bdcef1d7298,9.32003217,23093.94352954,5.08e-06,861556,2025-02-08 16:31:33.835841,58342.0,543749.31686214,buy,0.040357040615772395
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 13:41:15,1154d3b8474b578171e8027519b0752328c9014076a7541fe9419c63f01057ca,90.49544053,23184.43897007,1.33e-05,861567,2025-02-08 16:31:33.835841,58342.0,5279684.99140126,buy,0.3903283605302042
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 13:43:34,7b0925b8e175ab4e9b11cb3141eac66619d2ccd59957f53ac06aa535dfa6c369,3.0,23187.43897007,6.77e-06,861567,2025-02-08 16:31:33.835841,58342.0,175026.0,buy,0.012938039443995325
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 14:34:40,f9b266a76024305ea44bbe99e88b5335b948ecc8e40dfb44c7ca0c84c4d816f8,1.20555472,23297.17051725,5.28e-06,861570,2025-02-08 16:31:33.835841,58342.0,70334.47347424,buy,0.005174682990397341
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 14:34:40,82b7583598bb46fe44ecd25a981c722d18ae6a2a52069947d50d33bd3366fbce,8.52508344,23295.96496253,5.28e-06,861570,2025-02-08 16:31:33.835841,58342.0,497370.41805647995,buy,0.03659467832181249
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 14:34:40,07ca57377616a8031901ac6aaf65b373fa68aed7bcef39eeed4a41737fc6c875,100.00090902,23287.43987909,5.28e-06,861570,2025-02-08 16:31:33.835841,58342.0,5834253.034044839,buy,0.42941993426160896
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 16:07:53,b3ab0a98c051bcada12fceedea98804de15235e171557023d74570bcbb380757,0.0001,23297.17061725,1.015e-05,861575,2025-02-08 16:31:33.835841,58342.0,5.8342,buy,4.292366727398076e-07
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 16:15:20,a2dda02b6292c6ce048edc64c7a6e8af78c7662280df15d3bf58927302220bf2,51.49772679,23348.66834404,6.77e-06,861577,2025-02-08 16:31:33.835841,58342.0,3004480.37638218,buy,0.22055958837217948
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 18:04:14,1e18fa67860a654e1ba5ff7e7e447edb34110571e99216b2536b91afe3a539b5,0.0001,23348.66844404,1.015e-05,861588,2025-02-08 16:31:33.835841,58342.0,5.8342,buy,4.2828994826694746e-07
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-16 18:27:36,292ee68dcd0f675368d4468dedc5e1e8b8371d977131fca064d163e0538ff863,28.97208039,23377.64052443,1.354e-05,861589,2025-02-08 16:31:33.835841,58342.0,1690289.11411338,buy,0.12393072927836203
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-17 14:01:45,af9797cc0b8a9bd496cc2088b62dd2f16893c72453bc4852adb0d8d65fd19bbe,0.0017,23377.64222443,1.098e-05,861707,2025-02-08 16:31:33.835841,60435.0,102.73949999999999,buy,7.271905283174679e-06
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-18 10:25:29,52781230c10ad8c316c68ebdb4db66abdc4db5172c74845f4e8c8caea63390dc,104.97239,23482.61461443,2.048e-05,861829,2025-02-08 16:31:33.835841,61841.0,6491597.569990001,buy,0.4470217295798687
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-09-20 16:36:37,b9fd9dca373bf21b30cbc4ba06bda6a2d8ae92951df5b51815a91227b7f0768a,250.20936946,23732.82398389,7.92e-06,862144,2025-02-08 16:31:33.835841,63205.0,15814483.1967193,buy,1.054275587388352
bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy,2024-11-10 06:53:07,a3cd1f31e2747f1850c83063340df1c06311a776c1acb5f3ec65af8c2bcd7101,5.46e-06,23732.82398935,6.24e-06,869673,2025-02-08 16:31:33.835841,80367.0,0.43880382,buy,2.3006111714518894e-08
