Date,Price,Open,High,Low,Vol.,Change %
2020-04-01,6675.0,"6,429.0","6,714.6","6,180.0",11.23K,3.8474104267467446
2020-04-02,6818.3,"6,685.7","7,263.3","6,591.3",20.08K,2.1468164794007594
2020-04-03,6740.8,"6,810.7","7,048.1","6,624.6",9.97K,-1.1366469647859478
2020-04-04,6881.6,"6,738.5","7,010.8","6,660.0",7.12K,2.088772845953013
2020-04-05,6778.0,"6,880.6","6,914.7","6,693.4",5.65K,-1.5054638456173053
2020-04-06,7346.0,"6,780.2","7,350.1","6,779.9",14.59K,8.380053113012686
2020-04-07,7203.0,"7,340.2","7,452.0","7,088.0",11.99K,-1.9466376259188678
2020-04-08,7367.0,"7,203.0","7,420.0","7,155.8",8.18K,2.2768290989865436
2020-04-09,7293.5,"7,367.1","7,370.7","7,117.0",7.75K,-0.9976924121080533
2020-04-10,6875.5,"7,293.7","7,305.8","6,756.4",15.84K,-5.7311304586275424
2020-04-11,6884.5,"6,874.3","6,954.4","6,780.0",4.07K,0.13089957094030158
2020-04-12,6913.0,"6,884.5","7,192.2","6,797.6",8.89K,0.41397341854891856
2020-04-13,6848.7,"6,916.5","6,916.5","6,576.5",12.68K,-0.9301316360480261
2020-04-14,6872.4,"6,847.9","6,984.9","6,762.9",4.30K,0.34605107538656643
2020-04-15,6633.8,"6,874.0","6,938.4","6,621.3",6.01K,-3.4718584482858916
2020-04-16,7114.9,"6,629.1","7,200.0","6,500.4",17.75K,7.252253610298776
2020-04-17,7045.8,"7,114.7","7,158.9","7,013.4",4.68K,-0.9712012818170246
2020-04-18,7269.1,"7,045.9","7,300.1","7,044.9",5.20K,3.1692639586704097
2020-04-19,7133.3,"7,268.8","7,285.4","7,058.7",4.74K,-1.868181755650633
2020-04-20,6841.9,"7,133.4","7,235.0","6,767.1",9.96K,-4.085065818064582
2020-04-21,6850.0,"6,835.0","6,955.6","6,770.7",6.46K,0.11838816702962607
2020-04-22,7133.0,"6,849.9","7,164.0","6,826.2",5.15K,4.131386861313868
2020-04-23,7495.2,"7,133.3","7,744.9","7,047.4",16.38K,5.077807374176357
2020-04-24,7506.8,"7,499.0","7,614.0","7,428.3",8.80K,0.1547657167253691
2020-04-25,7538.5,"7,508.4","7,700.0","7,450.1",5.17K,0.42228379602493593
2020-04-26,7697.1,"7,538.5","7,697.1","7,487.0",5.32K,2.1038668170060504
2020-04-27,7777.7,"7,698.0","7,777.7","7,623.4",6.90K,1.0471476270283553
2020-04-28,7755.8,"7,777.6","7,777.7","7,658.6",5.62K,-0.2815742443138647
2020-04-29,8773.3,"7,750.7","8,918.0","7,706.1",30.21K,13.119214007581403
2020-04-30,8635.3,"8,773.8","9,438.8","8,416.0",29.83K,-1.5729543045376326
2020-05-01,8822.9,"8,630.8","9,069.9","8,630.8",7.92K,2.1724780841430036
2020-05-02,8982.3,"8,822.9","8,999.0","8,763.0",5.09K,1.806662208570864
2020-05-03,8899.8,"8,982.3","9,198.0","8,738.5",9.72K,-0.9184729968938932
2020-05-04,8865.8,"8,901.6","8,959.0","8,535.0",9.32K,-0.38203105687768524
2020-05-05,9020.1,"8,871.2","9,119.8","8,770.9",7.71K,1.7403956777730212
2020-05-06,9157.9,"9,020.0","9,415.1","8,918.3",8.73K,1.5276992494539954
2020-05-07,9979.6,"9,150.4","10,045.0","9,050.0",19.87K,8.972581050240791
2020-05-08,9792.8,"9,991.0","10,025.0","9,713.8",12.20K,-1.871818509759926
